Longitude Latitude Value Stock_out_ratio Avg_dist_loc
-122.33247 47.58001 0.01002 0.73566 0.64174
-122.30517 47.60116 0.00212 0.16284 0.46090
-122.30294 47.58233 0.00551 0.37186 0.81878
-122.28972 47.58388 0.00865 0.79214 0.95708
-122.36501 47.64903 0.02111 0.52589 0.91665
-122.30393 47.64981 0.00297 0.29878 0.08139
-122.35355 47.61296 0.02156 0.08864 0.43692
-122.28598 47.62770 0.00350 0.70244 0.71106
-122.35554 47.58349 0.00378 0.53889 1.71810
-122.33285 47.60152 0.01398 0.04256 0.27325
-122.28249 47.60928 0.01513 0.58757 1.10188
-122.36875 47.63003 0.00309 0.38148 0.33024
-122.32612 47.63216 0.00502 0.21482 0.45339
-122.37474 47.57632 0.01303 0.99953 3.37677
-122.33435 47.59202 0.00385 0.06921 0.17196
-122.31490 47.59008 0.00766 0.43711 0.45886
-122.28723 47.59706 0.01186 0.54925 0.81013
-122.31964 47.61413 0.04044 0.03872 0.33744
-122.34607 47.62479 0.01374 0.05997 0.30753
-122.29296 47.64127 0.00595 0.68420 0.72010
-122.33609 47.64864 0.01924 0.13901 0.30879
-122.32338 47.64903 0.00318 0.17201 0.26565
-122.32861 47.58756 0.00792 0.26570 0.42447
-122.30169 47.59416 0.00652 0.39186 0.60290
-122.31515 47.60598 0.01205 0.11800 0.41951
-122.33560 47.61219 0.03667 0.04127 0.35674
-122.36402 47.62072 0.01021 0.17859 0.40614
-122.28075 47.61917 0.00199 0.73226 0.30412
-122.30717 47.62479 0.00446 0.24638 0.34578
-122.28224 47.63856 0.00022 0.76549 0.37119
-122.34357 47.63798 0.00322 0.16395 0.29119
-122.31141 47.64166 0.00766 0.56533 0.87240
-122.32188 47.59668 0.01417 0.15096 0.48130
-122.34033 47.60521 0.04722 0.06214 0.37151
-122.30294 47.61258 0.00850 0.15982 0.41298
-122.33136 47.62150 0.01714 0.07006 0.43276
-122.35704 47.63662 0.00448 0.28310 0.27413
-122.30244 47.63623 0.01109 0.67407 0.92171
-122.28025 47.63429 0.00973 0.92471 0.93663
-122.32463 47.64166 0.00889 0.13136 0.48598
-122.29022 47.64690 0.00522 0.81281 0.93143
-122.34981 47.64942 0.00936 0.15163 0.12998
-122.33385 47.59609 0.01971 0.05891 0.35133
-122.29945 47.60831 0.00593 0.30412 0.39531
-122.32612 47.60579 0.01363 0.10691 0.55303
-122.33884 47.61820 0.04578 0.05579 0.41603
-122.29346 47.61994 0.00211 0.43042 0.50042
-122.31964 47.62363 0.01122 0.10115 0.36894
-122.35753 47.62925 0.00791 0.14429 0.48565
-122.34083 47.63216 0.01761 0.08325 0.33030
-122.36825 47.63953 0.00766 0.61017 0.74929
-122.34856 47.64573 0.00569 0.21973 0.45477
-122.31291 47.59823 0.00465 0.15031 0.51566
-122.30543 47.60598 0.01023 0.25908 0.39437
-122.29122 47.60560 0.00702 0.45159 0.77147
-122.34457 47.61122 0.03982 0.03861 0.31023
-122.32762 47.61510 0.02641 0.05242 0.40675
-122.30967 47.61587 0.01196 0.09740 0.36475
-122.35080 47.62072 0.02785 0.05904 0.39852
-122.36925 47.62479 0.00638 0.43883 0.59579
-122.33709 47.62731 0.01867 0.06584 0.31000
-122.31490 47.63100 0.00411 0.32484 0.58541
-122.31665 47.60967 0.02454 0.08783 0.40927
-122.35878 47.61704 0.01677 0.11781 0.38241
-122.30244 47.61917 0.00651 0.18777 0.39272
-122.35704 47.62440 0.01699 0.06175 0.35221
-122.34233 47.62285 0.04155 0.07669 0.48593
-122.31241 47.62247 0.01310 0.13958 0.33277
-122.32662 47.62731 0.01231 0.12073 0.45501
-122.31914 47.63875 0.00678 0.27427 0.50388
-122.34332 47.64283 0.00545 0.22935 0.59546
-122.31765 47.64864 0.00972 0.34166 0.71155
-122.33884 47.58834 0.00220 0.27533 0.48778
-122.28648 47.58640 0.00375 0.85134 1.00608
-122.33186 47.60812 0.02251 0.06864 0.51885
-122.33086 47.61781 0.02437 0.06368 0.38766
-122.32064 47.61994 0.02057 0.05678 0.28311
-122.28698 47.62518 0.00160 0.65601 0.62057
-122.30717 47.63061 0.00224 0.34165 0.56304
-122.34756 47.63507 0.00371 0.17864 0.50043
-122.32861 47.63720 0.00382 0.12306 0.24684
-122.34482 47.64903 0.00510 0.18265 0.20854
